Acc #,Games Attended,Seat Qty, Net Revenue , Most Common Section ,Region,Gender,Age
13039619,1,1, $33.33 , Defensive Ends ,East Toronto (Riverdale),M,41
13405428,1,4, $133.33 , Defensive Ends ,West Toronto (Dufferin),M,52
17812859,1,2, $66.67 , Defensive Ends ,Richmond Hill (Oak Ridges / Lake Wilcox / Temperanceville),M,40
9419570,1,5, $192.86 , Attacking Corner ,Niagara Falls (Central),M,39
15963953,1,2, $30.48 , Family Zone ,Brampton (East),M,26
16548229,1,4, $221.90 , Blue Line ,Scarborough (Malvern),M,41
13139613,1,2, $66.67 , Club Rinkside ,York (Humewood-Cedarvale),M,31
2057658,1,2, $66.67 , Defensive Ends ,Brampton (West),M,48
13567921,1,2, $58.57 , Defensive Ends ,Downtown Toronto (Harbourfront),M,42
13508211,1,4, $117.14 , Defensive Ends ,North York (Downsview Northeast),M,35
13321366,1,1, $15.24 , Family Zone ,Richmond Hill (Oak Ridges / Lake Wilcox / Temperanceville),M,18
17769730,1,3, $214.29 , Club Gold ,Markham (Wismer Commons / Greensborough),M,33
14738554,1,3, $166.43 , Blue Line ,Central Toronto (Summerhill East),M,55
14972994,1,2, $58.57 , Defensive Ends ,Etobicoke (South Steeles),M,24
17023720,1,2, $156.19 , Club Rinkside ,West Toronto (Dufferin),M,31
16668430,1,4, $117.14 , Defensive Ends ,Etobicoke (Queensway),M,41
12024334,1,4, $117.14 , Defensive Ends ,Scarborough (Wexford),M,41
7451538,1,4, $109.75 , Attacking Corner ,East York (Woodbine Heights),M,38
10750131,1,2, $110.95 , Blue Line ,Brampton (East),M,16
13879581,1,2, $30.48 , Family Zone ,Midland,M,48
8348977,1,6, $175.71 , Defensive Ends ,North York (Willowdale South),M,31
5924303,1,3, $87.86 , Defensive Ends ,East Toronto (Riverdale),M,22
17778190,1,1, $15.24 , Family Zone ,Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek),M,35
17716671,1,1, $15.24 , Family Zone ,Markham (Central),M,43
7732953,1,4, $117.14 , Defensive Ends ,North York (Willowdale South),M,14
17106756,1,4, $60.95 , Family Zone ,Central Toronto (Yorkville),M,38
17771423,1,2, $132.38 , Club Gold ,Central Toronto (Summerhill East),M,35
9622731,1,1, $42.86 , Attacking Corner ,Scarborough (Cedarbrae),M,28
17107212,1,2, $58.57 , Defensive Ends ,Scarborough (Malvern),M,38
4840438,1,5, $146.43 , Defensive Ends ,Brampton (North),M,54
11631980,1,3, $87.86 , Defensive Ends ,Etobicoke (South Steeles),M,25
17052166,1,2, $30.48 , Family Zone ,Etobicoke (Eringate),M,43
13076840,1,4, $117.14 , Defensive Ends ,East York (Woodbine Heights),M,44
4713388,1,2, $66.67 , Defensive Ends ,Mississauga (West Hurontario / SW Gateway),M,46
16029576,1,6, $175.71 , Defensive Ends ,Scarborough (Woburn),M,45
4071661,1,3, $87.86 , Defensive Ends ,York (Humewood-Cedarvale),M,32
13396041,1,1, $29.29 , Defensive Ends ,Downtown Toronto (U of T),M,32
