Event Name,Game Day,Game Day of Wk,Section,Row,Seat Qty,Acc #,Sale Date,Section Name,Promo Code,Comp,Current Block Price,Sale Day,Net Revenue,,
TML1028,2023-10-28,Sat,103,2,1,7904316,2023-10-23,Defensive Ends,,N,30.75,Mon,29.29,,
TML1028,2023-10-28,Sat,103,6,2,16033271,2023-10-27,Defensive Ends,,N,61.50,Fri,58.57,,
TML1028,2023-10-28,Sat,103,5,2,2278376,2023-10-06,Defensive Ends,,N,61.50,Fri,58.57,,
TML1028,2023-10-28,Sat,103,9,1,16053744,2023-10-28,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,9,1,16053744,2023-10-28,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,7,1,16048467,2023-10-25,Family Zone,,N,16.00,Wed,15.24,,
TML1028,2023-10-28,Sat,103,10,3,16049174,2023-10-22,Family Zone,,N,48.00,Sun,45.71,,
TML1028,2023-10-28,Sat,103,9,4,13460618,2023-10-22,Family Zone,,N,64.00,Sun,60.95,,
TML1028,2023-10-28,Sat,103,10,6,12694323,2023-10-13,Family Zone,,N,96.00,Fri,91.43,,
TML1028,2023-10-28,Sat,103,18,2,16033816,2023-10-10,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,17,2,15993735,2023-10-07,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,17,2,12072262,2023-10-03,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,17,2,16010498,2023-09-30,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,17,2,16051984,2023-09-30,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,13,2,14771295,2023-09-23,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,9,2,9180324,2023-09-05,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,9,5,6034688,2023-09-02,Family Zone,,N,80.00,Sat,76.19,,
TML1028,2023-10-28,Sat,103,7,2,15941576,2023-10-18,Family Zone,,N,32.00,Wed,30.48,,
